log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Num Rx Ant,Deplexing Mode,Neighbor Cells,Cell ID,CP Type,Enabled Tx Antennas,TTL Enabled,FTL Enabled,Cell ID,CP Type,Enabled Tx Antennas,TTL Enabled,FTL Enabled,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:26.670856,1,2,,26,2,44,5035,2,2,FDD,,114,Normal,2,True,True,157,Normal,2,True,True,27,4,116,5035,2,FDD,PCell,,114,0,-122.625,-14.5625,-99.0,157,0,-128.5625,-20.5,-99.0625
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:26.711663,1,2,,26,2,44,5035,2,2,FDD,,114,Normal,2,True,True,157,Normal,2,True,True,27,4,116,5035,2,FDD,PCell,,114,0,-122.8125,-14.6875,-99.0625,157,0,-125.8125,-17.6875,-99.0625
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:26.751658,1,2,,26,2,44,5035,2,2,FDD,,114,Normal,2,True,True,157,Normal,2,True,True,27,4,116,5035,2,FDD,PCell,,114,0,-123.3125,-14.6875,-99.625,157,0,-129.625,-20.25,-99.5625
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:26.791657,1,2,,26,2,44,5035,2,2,FDD,,114,Normal,2,True,True,157,Normal,2,True,True,27,4,116,5035,2,FDD,PCell,,114,0,-123.5,-15.0,-99.5,157,0,-128.125,-19.625,-99.5
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:22.631661,1,2,,26,2,28,40072,1,2,TDD,,352,Normal,2,True,True,27,4,64,40072,1,TDD,PCell,,352,0,-130.8125,-16.6875,-103.5,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:22.670863,1,2,,26,2,28,40072,1,2,TDD,,352,Normal,2,True,True,27,4,64,40072,1,TDD,PCell,,352,0,-129.25,-16.6875,-103.125,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:22.791662,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-128.1875,-13.8125,-105.375,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:22.831658,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-128.0625,-13.0625,-105.6875,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:22.870866,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-127.75,-12.9375,-105.3125,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:22.911656,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-129.5,-14.75,-105.6875,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:19.551668,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-127.1875,-12.625,-105.5,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:19.670872,1,2,,26,2,28,39874,1,2,TDD,,352,Normal,2,True,True,27,4,64,39874,1,TDD,PCell,,352,0,-129.6875,-17.8125,-102.875,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:19.711665,1,2,,26,2,28,39874,1,2,TDD,,352,Normal,2,True,True,27,4,64,39874,1,TDD,PCell,,352,0,-127.3125,-13.8125,-104.125,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:19.751671,1,2,,26,2,28,39874,1,2,TDD,,352,Normal,2,True,True,27,4,64,39874,1,TDD,PCell,,352,0,-127.5,-14.0625,-103.5,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:19.791667,1,2,,26,2,28,39874,1,2,TDD,,352,Normal,2,True,True,27,4,64,39874,1,TDD,PCell,,352,0,-127.3125,-13.6875,-104.5625,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:31.591628,1,2,,26,2,28,40072,1,2,TDD,,352,Normal,2,True,True,27,4,64,40072,1,TDD,PCell,,352,0,-130.1875,-16.8125,-104.375,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:31.631630,1,2,,26,2,28,40072,1,2,TDD,,352,Normal,2,True,True,27,4,64,40072,1,TDD,PCell,,352,0,-131.1875,-16.25,-104.0,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:31.670836,1,2,,26,2,28,40072,1,2,TDD,,352,Normal,2,True,True,27,4,64,40072,1,TDD,PCell,,352,0,-130.6875,-16.4375,-103.75,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:31.711625,1,2,,26,2,28,40072,1,2,TDD,,352,Normal,2,True,True,27,4,64,40072,1,TDD,PCell,,352,0,-129.9375,-16.375,-103.875,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:20.870867,1,2,,26,2,28,40072,1,2,TDD,,352,Normal,2,True,True,27,4,64,40072,1,TDD,PCell,,352,0,-133.1875,-19.4375,-104.625,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:20.911667,1,2,,26,2,28,40072,1,2,TDD,,352,Normal,2,True,True,27,4,64,40072,1,TDD,PCell,,352,0,-128.9375,-15.375,-103.75,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:20.951667,1,2,,26,2,28,40072,1,2,TDD,,352,Normal,2,True,True,27,4,64,40072,1,TDD,PCell,,352,0,-130.3125,-16.875,-104.3125,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:20.991667,1,2,,26,2,28,40072,1,2,TDD,,352,Normal,2,True,True,27,4,64,40072,1,TDD,PCell,,352,0,-130.3125,-16.75,-103.625,,,,,,,,,,
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:23.751673,1,2,,26,2,44,66586,2,2,FDD,,349,Normal,2,True,True,441,Normal,2,True,True,27,4,116,66586,2,FDD,PCell,,349,0,-120.125,-11.5625,-99.5625,441,0,-130.8125,-21.4375,-99.75
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:23.791671,1,2,,26,2,44,66586,2,2,FDD,,349,Normal,2,True,True,441,Normal,2,True,True,27,4,116,66586,2,FDD,PCell,,349,0,-121.25,-12.8125,-99.4375,441,0,-129.25,-20.625,-99.625
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:29.551652,1,2,,26,2,44,5035,2,2,FDD,,114,Normal,2,True,True,157,Normal,2,True,True,27,4,116,5035,2,FDD,PCell,,114,0,-122.25,-13.625,-99.5625,157,0,-128.4375,-19.3125,-99.5
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:29.591648,1,2,,26,2,44,5035,2,2,FDD,,114,Normal,2,True,True,157,Normal,2,True,True,27,4,116,5035,2,FDD,PCell,,114,0,-121.375,-13.0,-99.3125,157,0,-131.125,-21.5625,-99.3125
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:29.631647,1,2,,26,2,44,5035,2,2,FDD,,114,Normal,2,True,True,157,Normal,2,True,True,27,4,116,5035,2,FDD,PCell,,114,0,-121.1875,-13.125,-99.0625,157,0,-127.75,-18.0,-99.0625
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:29.670847,1,2,,26,2,44,5035,2,2,FDD,,114,Normal,2,True,True,157,Normal,2,True,True,27,4,116,5035,2,FDD,PCell,,114,0,-121.25,-13.5,-98.6875,157,0,-126.375,-18.6875,-98.6875
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:29.911648,1,2,,26,2,44,68661,2,2,FDD,,117,Normal,2,True,True,145,Normal,2,True,True,27,4,116,68661,2,FDD,PCell,,117,0,-120.8125,-14.9375,-96.875,145,0,-123.6875,-15.5625,-96.875
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:12.791691,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-129.0625,-14.875,-105.125,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:12.831690,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-127.0625,-12.6875,-105.375,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:12.871393,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-128.1875,-13.625,-105.5,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:12.911687,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-128.875,-14.0625,-105.8125,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:24.751655,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-128.375,-13.75,-105.4375,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:24.870861,1,2,,26,2,28,39874,1,2,TDD,,352,Normal,2,True,True,27,4,64,39874,1,TDD,PCell,,352,0,-126.6875,-14.75,-102.875,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:24.911648,1,2,,26,2,28,39874,1,2,TDD,,352,Normal,2,True,True,27,4,64,39874,1,TDD,PCell,,352,0,-131.125,-17.75,-103.875,,,,,,,,,,
