log_msg_len,type_id,timestamp,Version,Num Subpkt,Subpacket ID,Subpacket Version,Subpacket Size,Num RBs,RLCUL Error Count,RBs,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst
532,LTE_RLC_UL_Stats,2021-11-29 02:07:47.225848,1,1,71,1,516,4,0,,33,AM,0,43,875,41,785,5,10,2,14,38,0,0,0,41,2,43,875,41,785,5,10,2,14,38,0,0,0,41,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,9516,2508844,11971,2473666,1609,3220,8,1171,1661,2,0,0,2058,1,9516,2508844,11971,2473666,1609,3220,8,1171,1661,2,0,0,2058,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:08:24.590834,1,1,71,1,516,4,0,,33,AM,0,49,977,44,875,5,10,2,14,41,0,0,0,44,2,49,977,44,875,5,10,2,14,41,0,0,0,44,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,9928,2590658,12172,2554435,1675,3352,8,1171,1737,2,0,0,2141,1,9928,2590658,12172,2554435,1675,3352,8,1171,1737,2,0,0,2141,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 01:37:35.858016,1,1,71,1,516,4,0,,33,AM,0,25,413,23,361,7,14,1,7,21,0,0,0,23,1,25,413,23,361,7,14,1,7,21,0,0,0,23,1,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,2829,1374416,2855,1364673,388,776,0,0,396,0,0,0,521,0,2829,1374416,2855,1364673,388,776,0,0,396,0,0,0,521,0,5,AM,0,79,16662,41,16455,17,34,3,352,17,0,0,0,17,1,79,16662,41,16455,17,34,3,352,17,0,0,0,17,1
532,LTE_RLC_UL_Stats,2021-11-29 02:09:31.182880,1,1,71,1,516,4,0,,33,AM,0,12,143,11,117,4,8,0,0,10,0,0,0,10,0,12,143,11,117,4,8,0,0,10,0,0,0,10,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,1491,284953,1718,279463,162,324,0,0,156,0,0,0,196,0,1491,284953,1718,279463,162,324,0,0,156,0,0,0,196,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:07:31.865852,1,1,71,1,516,4,0,,33,AM,0,41,811,39,725,5,10,2,14,36,0,0,0,39,2,41,811,39,725,5,10,2,14,36,0,0,0,39,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,9192,2462112,11809,2427714,1542,3086,5,457,1581,1,0,0,1964,1,9192,2462112,11809,2427714,1542,3086,5,457,1581,1,0,0,1964,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:09:38.482002,1,1,71,1,516,4,0,,33,AM,0,13,175,12,147,4,8,0,0,11,0,0,0,11,0,13,175,12,147,4,8,0,0,11,0,0,0,11,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,2453,450115,2622,441410,267,534,0,0,255,0,0,0,335,0,2453,450115,2622,441410,267,534,0,0,255,0,0,0,335,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:07:13.305771,1,1,71,1,516,4,0,,33,AM,0,39,747,37,665,5,10,2,14,34,0,0,0,37,2,39,747,37,665,5,10,2,14,34,0,0,0,37,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,6165,1742769,9263,1718245,1343,2688,5,457,1386,1,0,0,1727,1,6165,1742769,9263,1718245,1343,2688,5,457,1386,1,0,0,1727,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:02:58.508076,1,1,71,1,516,4,0,,33,AM,0,10,136,12,112,4,8,2,14,9,0,0,0,12,2,10,136,12,112,4,8,2,14,9,0,0,0,12,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,80,14559,72,14318,24,48,0,0,25,0,0,0,26,0,80,14559,72,14318,24,48,0,0,25,0,0,0,26,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:08:49.830834,1,1,71,1,516,4,0,,33,AM,0,56,1081,47,965,5,10,2,14,44,0,0,0,47,2,56,1081,47,965,5,10,2,14,44,0,0,0,47,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,10403,2692902,12372,2655454,1709,3420,8,1171,1782,2,0,0,2189,1,10403,2692902,12372,2655454,1709,3420,8,1171,1782,2,0,0,2189,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:08:13.061392,1,1,71,1,516,4,0,,33,AM,0,47,943,43,845,5,10,2,14,40,0,0,0,43,2,47,943,43,845,5,10,2,14,40,0,0,0,43,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,9784,2560405,12077,2524579,1649,3300,8,1171,1709,2,0,0,2108,1,9784,2560405,12077,2524579,1649,3300,8,1171,1709,2,0,0,2108,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:06:41.985838,1,1,71,1,516,4,0,,33,AM,0,34,661,34,589,5,10,2,14,31,0,0,0,34,2,34,661,34,589,5,10,2,14,31,0,0,0,34,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,4385,1365982,7440,1347596,1117,2234,1,23,1166,1,0,0,1451,0,4385,1365982,7440,1347596,1117,2234,1,23,1166,1,0,0,1451,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:08:04.370843,1,1,71,1,516,4,0,,33,AM,0,44,907,42,815,5,10,2,14,39,0,0,0,42,2,44,907,42,815,5,10,2,14,39,0,0,0,42,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,9772,2552985,12069,2517192,1647,3296,8,1171,1706,2,0,0,2105,1,9772,2552985,12069,2517192,1647,3296,8,1171,1706,2,0,0,2105,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:08:43.721258,1,1,71,1,516,4,0,,33,AM,0,54,1047,46,935,5,10,2,14,43,0,0,0,46,2,54,1047,46,935,5,10,2,14,43,0,0,0,46,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,10304,2678598,12350,2641374,1701,3404,8,1171,1773,2,0,0,2179,1,10304,2678598,12350,2641374,1701,3404,8,1171,1773,2,0,0,2179,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:07:06.865834,1,1,71,1,516,4,0,,33,AM,0,39,747,37,665,5,10,2,14,34,0,0,0,37,2,39,747,37,665,5,10,2,14,34,0,0,0,37,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,5650,1624302,8357,1602189,1293,2586,5,457,1344,1,0,0,1680,1,5650,1624302,8357,1602189,1293,2586,5,457,1344,1,0,0,1680,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:09:37.002886,1,1,71,1,516,4,0,,33,AM,0,13,175,12,147,4,8,0,0,11,0,0,0,11,0,13,175,12,147,4,8,0,0,11,0,0,0,11,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,2359,436732,2533,428334,251,502,0,0,239,0,0,0,314,0,2359,436732,2533,428334,251,502,0,0,239,0,0,0,314,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:08:14.725837,1,1,71,1,516,4,0,,33,AM,0,47,943,43,845,5,10,2,14,40,0,0,0,43,2,47,943,43,845,5,10,2,14,40,0,0,0,43,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,9793,2561207,12087,2525359,1655,3312,8,1171,1716,2,0,0,2116,1,9793,2561207,12087,2525359,1655,3312,8,1171,1716,2,0,0,2116,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:07:33.645838,1,1,71,1,516,4,0,,33,AM,0,41,811,39,725,5,10,2,14,36,0,0,0,39,2,41,811,39,725,5,10,2,14,36,0,0,0,39,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,9199,2462584,11815,2428170,1546,3094,5,457,1585,1,0,0,1969,1,9199,2462584,11815,2428170,1546,3094,5,457,1585,1,0,0,1969,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:09:35.562880,1,1,71,1,516,4,0,,33,AM,0,13,175,12,147,4,8,0,0,11,0,0,0,11,0,13,175,12,147,4,8,0,0,11,0,0,0,11,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,2172,400021,2351,392256,226,452,0,0,218,0,0,0,286,0,2172,400021,2351,392256,226,452,0,0,218,0,0,0,286,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:06:46.226462,1,1,71,1,516,4,0,,33,AM,0,36,681,35,605,5,10,2,14,32,0,0,0,35,2,36,681,35,605,5,10,2,14,32,0,0,0,35,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,4475,1380548,7502,1361889,1126,2252,1,23,1174,1,0,0,1460,0,4475,1380548,7502,1361889,1126,2252,1,23,1174,1,0,0,1460,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 02:09:14.700872,1,1,71,1,516,4,0,,33,AM,0,7,66,6,50,2,4,0,0,5,0,0,0,5,0,7,66,6,50,2,4,0,0,5,0,0,0,5,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,92,19147,110,18810,12,24,0,0,15,0,0,0,15,0,92,19147,110,18810,12,24,0,0,15,0,0,0,15,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
