100,LTE_MAC_DL_Transport_Block,2021-11-29 14:57:47.091421,1,1,DL Transport Block,4,84,5,,1,0,4,781,C-RNTI,2,0,0,11,1,6,3,,35,3,2,31,Padding,-1,1,0,3,783,C-RNTI,7,0,0,1239,1,0,1,,3,3,0,1,0,4,783,C-RNTI,0,0,0,1383,1,0,3,,59,Activation/Deactivation (1 octet),1,2,3,3,0,1,0,5,783,C-RNTI,1,0,0,1335,1,0,1,,3,3,0,1,0,6,783,C-RNTI,6,0,0,437,1,0,1,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,LTE_MAC_DL_Transport_Block,2021-11-29 14:57:47.141437,1,1,DL Transport Block,4,444,28,,1,0,9,783,C-RNTI,4,0,0,1239,1,0,1,,3,3,0,1,0,0,784,C-RNTI,3,0,0,301,1,0,1,,3,3,0,1,0,2,784,C-RNTI,7,0,0,1239,1,0,1,,3,3,0,1,0,3,784,C-RNTI,0,0,0,1383,1,0,1,,3,3,0,1,0,4,784,C-RNTI,1,0,0,1335,1,0,1,,3,3,0,1,0,5,784,C-RNTI,6,0,0,437,1,97,4,,35,3,336,31,Padding,-1,1,0,7,784,C-RNTI,4,0,0,1239,1,0,1,,3,3,0,1,0,8,784,C-RNTI,3,0,0,301,1,15,4,,35,3,282,31,Padding,-1,1,0,4,785,C-RNTI,5,0,0,1143,1,0,1,,3,3,0,1,0,4,785,C-RNTI,5,0,0,1143,1,0,1,,3,3,0,1,0,5,785,C-RNTI,2,0,0,1479,1,0,1,,3,3,0,1,0,5,785,C-RNTI,2,0,0,1479,1,0,1,,3,3,0,1,0,6,785,C-RNTI,7,0,0,1479,1,0,1,,3,3,0,1,0,7,785,C-RNTI,0,0,0,253,1,0,1,,3,3,0,1,0,8,785,C-RNTI,1,0,0,1239,1,0,1,,3,3,0,1,0,9,785,C-RNTI,6,0,0,1527,1,0,1,,3,3,0,1,0,0,786,C-RNTI,4,0,0,141,1,0,1,,3,3,0,1,0,1,786,C-RNTI,3,0,0,1431,1,0,1,,3,3,0,1,0,2,786,C-RNTI,5,0,0,1431,1,0,1,,3,3,0,1,0,3,786,C-RNTI,2,0,0,85,1,18,3,,35,3,64,31,Padding,-1,1,0,4,786,C-RNTI,7,0,0,1479,1,1346,4,,35,3,129,31,Padding,-1,1,0,4,786,C-RNTI,7,0,0,1479,1,0,1,,3,3,0,1,0,6,786,C-RNTI,0,0,0,253,1,19,4,,35,3,230,31,Padding,-1,1,0,7,786,C-RNTI,1,0,0,1239,1,0,1,,3,3,0,1,0,8,786,C-RNTI,6,0,0,1527,1,0,1,,3,3,0,1,0,9,786,C-RNTI,4,0,0,141,1,20,3,,35,3,118,31,Padding,-1,1,0,0,787,C-RNTI,3,0,0,1431,1,0,1,,3,3,0,1,0,1,787,C-RNTI,5,0,0,1431,1,0,1,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,LTE_MAC_DL_Transport_Block,2021-11-29 14:58:08.841282,1,1,DL Transport Block,4,24,1,,1,0,2,910,C-RNTI,6,0,0,22,1,17,3,,35,3,2,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,LTE_MAC_DL_Transport_Block,2021-11-29 14:58:08.890916,1,1,DL Transport Block,4,92,5,,1,0,0,911,C-RNTI,7,0,0,253,1,0,1,,3,3,0,1,0,0,911,C-RNTI,7,0,0,26,1,16,3,,35,3,7,31,Padding,-1,1,0,5,913,C-RNTI,0,0,0,141,1,9,4,,35,3,128,31,Padding,-1,1,0,2,915,C-RNTI,1,0,0,22,1,17,3,,35,3,2,31,Padding,-1,1,0,6,915,C-RNTI,2,0,0,97,1,10,3,,35,3,84,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,LTE_MAC_DL_Transport_Block,2021-11-29 14:58:08.991266,1,1,DL Transport Block,4,92,5,,1,0,5,921,C-RNTI,3,0,0,11,1,6,3,,35,3,2,31,Padding,-1,1,0,2,922,C-RNTI,4,0,0,3963,1,14,4,,35,3,3945,31,Padding,-1,1,0,9,922,C-RNTI,5,0,0,85,1,6,3,,35,3,76,31,Padding,-1,1,0,0,923,C-RNTI,6,0,0,285,1,127,4,,35,3,154,31,Padding,-1,1,0,1,923,C-RNTI,7,0,0,85,1,7,3,,35,3,75,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,LTE_MAC_DL_Transport_Block,2021-11-29 14:58:09.041282,1,1,DL Transport Block,4,392,24,,1,0,4,927,C-RNTI,0,0,0,1836,1,0,1,,3,3,0,1,0,4,927,C-RNTI,0,0,0,1143,1,84,4,,35,3,1055,31,Padding,-1,1,0,5,927,C-RNTI,1,0,0,1980,2,0,4,,63,Padding,-1,35,3,2,3,3,0,1,0,5,927,C-RNTI,1,0,0,1143,1,223,4,,35,3,916,31,Padding,-1,1,0,6,927,C-RNTI,2,0,0,3062,1,0,1,,3,3,0,1,0,6,927,C-RNTI,2,0,0,2196,1,0,1,,3,3,0,1,0,7,927,C-RNTI,3,0,0,389,1,0,1,,3,3,0,1,0,7,927,C-RNTI,3,0,0,173,1,32,4,,35,3,137,31,Padding,-1,1,0,8,927,C-RNTI,4,0,0,3422,1,0,1,,3,3,0,1,0,8,927,C-RNTI,4,0,0,2196,1,0,1,,3,3,0,1,0,9,927,C-RNTI,5,0,0,2961,1,0,1,,3,3,0,1,0,9,927,C-RNTI,5,0,0,2052,1,0,1,,3,3,0,1,0,0,928,C-RNTI,6,0,0,717,1,0,1,,3,3,0,1,0,0,928,C-RNTI,6,0,0,277,1,57,4,,35,3,216,31,Padding,-1,1,0,1,928,C-RNTI,7,0,0,1980,1,0,1,,3,3,0,1,0,1,928,C-RNTI,7,0,0,1239,1,0,1,,3,3,0,1,0,2,928,C-RNTI,0,0,0,1764,1,0,1,,3,3,0,1,0,2,928,C-RNTI,0,0,0,1031,1,220,4,,35,3,807,31,Padding,-1,1,0,3,928,C-RNTI,1,0,0,2577,1,0,1,,3,3,0,1,0,3,928,C-RNTI,1,0,0,1620,1,0,1,,3,3,0,1,0,4,928,C-RNTI,2,0,0,97,1,14,3,,35,3,80,31,Padding,-1,1,0,0,929,C-RNTI,3,0,0,85,1,6,3,,35,3,76,31,Padding,-1,1,0,1,929,C-RNTI,4,0,0,325,1,0,1,,3,3,0,1,0,1,929,C-RNTI,4,0,0,41,1,26,3,,35,3,12,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,LTE_MAC_DL_Transport_Block,2021-11-29 14:57:59.771393,1,1,DL Transport Block,4,44,2,,1,0,8,1022,C-RNTI,5,0,0,97,2,7,5,,33,1,9,35,3,76,31,Padding,-1,1,0,7,0,C-RNTI,2,0,0,22,1,17,3,,35,3,2,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,LTE_MAC_DL_Transport_Block,2021-11-29 14:56:38.754062,1,1,DL Transport Block,4,24,1,,1,0,6,93,C-RNTI,6,0,0,22,1,17,3,,35,3,2,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,LTE_MAC_DL_Transport_Block,2021-11-29 14:56:38.788300,1,1,DL Transport Block,4,496,30,,1,0,2,95,C-RNTI,7,0,0,1287,1,0,1,,3,3,0,1,0,2,95,C-RNTI,7,0,0,1692,1,84,4,,35,3,1604,31,Padding,-1,1,0,3,95,C-RNTI,4,0,0,1431,1,0,1,,3,3,0,1,0,3,95,C-RNTI,4,0,0,1692,1,228,4,,35,3,1460,31,Padding,-1,1,0,4,95,C-RNTI,3,0,0,1287,1,0,1,,3,3,0,1,0,4,95,C-RNTI,3,0,0,1692,1,84,4,,35,3,1604,31,Padding,-1,1,0,5,95,C-RNTI,2,0,0,1287,1,0,1,,3,3,0,1,0,5,95,C-RNTI,2,0,0,1692,1,84,4,,35,3,1604,31,Padding,-1,1,0,7,95,C-RNTI,0,0,0,1287,1,0,1,,3,3,0,1,0,7,95,C-RNTI,0,0,0,1692,1,79,4,,35,3,1609,31,Padding,-1,1,0,8,95,C-RNTI,5,0,0,1431,1,0,1,,3,3,0,1,0,8,95,C-RNTI,5,0,0,1692,1,232,4,,35,3,1456,31,Padding,-1,1,0,0,96,C-RNTI,1,0,0,2577,1,0,1,,3,3,0,1,0,0,96,C-RNTI,1,0,0,2769,1,0,1,,3,3,0,1,0,1,96,C-RNTI,6,0,0,173,1,0,1,,3,3,0,1,0,1,96,C-RNTI,6,0,0,285,1,11,4,,35,3,270,31,Padding,-1,1,0,2,96,C-RNTI,7,0,0,2961,1,0,1,,3,3,0,1,0,2,96,C-RNTI,7,0,0,3182,1,0,1,,3,3,0,1,0,3,96,C-RNTI,4,0,0,1620,1,0,1,,3,3,0,1,0,3,96,C-RNTI,4,0,0,2124,1,346,4,,35,3,1774,31,Padding,-1,1,0,4,96,C-RNTI,3,0,0,1431,1,0,1,,3,3,0,1,0,4,96,C-RNTI,3,0,0,1692,1,228,4,,35,3,1460,31,Padding,-1,1,0,7,96,C-RNTI,2,0,0,1383,1,0,1,,3,3,0,1,0,7,96,C-RNTI,2,0,0,1620,1,108,4,,35,3,1508,31,Padding,-1,1,0,9,96,C-RNTI,0,0,0,1383,1,0,1,,3,3,0,1,0,9,96,C-RNTI,0,0,0,1527,1,15,4,,35,3,1508,31,Padding,-1,1,0,1,97,C-RNTI,5,0,0,1572,1,0,1,,3,3,0,1,0,1,97,C-RNTI,5,0,0,1431,1,108,4,,35,3,1319,31,Padding,-1,1,0,3,97,C-RNTI,1,0,0,1572,1,0,1,,3,3,0,1,0,3,97,C-RNTI,1,0,0,1572,1,249,4,,35,3,1319,31,Padding,-1,,,,,,,,,,,,
140,LTE_MAC_DL_Transport_Block,2021-11-29 14:56:38.804134,1,1,DL Transport Block,4,124,7,,1,0,5,97,C-RNTI,6,0,0,1572,1,0,1,,3,3,0,1,0,5,97,C-RNTI,6,0,0,1572,1,249,4,,35,3,1319,31,Padding,-1,1,0,7,97,C-RNTI,7,0,0,1527,1,0,1,,3,3,0,1,0,7,97,C-RNTI,7,0,0,1383,1,15,4,,35,3,1364,31,Padding,-1,1,0,0,98,C-RNTI,4,0,0,775,1,0,1,,3,3,0,1,0,0,98,C-RNTI,4,0,0,807,1,14,4,,35,3,789,31,Padding,-1,1,0,6,98,C-RNTI,3,0,0,22,1,17,3,,35,3,2,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,LTE_MAC_DL_Transport_Block,2021-11-29 14:56:22.631661,1,1,DL Transport Block,4,28,1,,1,0,9,528,P-RNTI,1,0,0,7,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,LTE_MAC_DL_Transport_Block,2021-11-29 14:56:23.260097,1,1,DL Transport Block,4,24,1,,1,0,2,592,C-RNTI,0,0,0,22,0,19,3,,59,Activation/Deactivation (1 octet),1,0,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,LTE_MAC_DL_Transport_Block,2021-11-29 14:58:39.450866,1,1,DL Transport Block,4,40,2,,1,0,5,898,C-RNTI,4,0,0,301,1,296,3,,35,3,2,31,Padding,-1,1,0,5,898,C-RNTI,4,0,0,301,0,300,1,,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,LTE_MAC_DL_Transport_Block,2021-11-29 14:58:39.654379,1,1,DL Transport Block,4,24,1,,1,0,2,919,C-RNTI,5,0,0,11,0,8,3,,61,TA,1,32,0,32,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,LTE_MAC_DL_Transport_Block,2021-11-29 14:58:46.590867,1,1,DL Transport Block,4,24,1,,1,0,4,587,C-RNTI,0,0,0,32,1,8,5,,61,TA,1,31,0,31,33,1,19,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,LTE_MAC_DL_Transport_Block,2021-11-29 14:58:46.740864,1,1,DL Transport Block,4,40,2,,1,0,9,602,C-RNTI,1,0,0,11,1,6,3,,33,1,2,31,Padding,-1,1,0,5,603,C-RNTI,2,0,0,11,1,6,3,,33,1,2,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,LTE_MAC_DL_Transport_Block,2021-11-29 14:58:41.940783,1,1,DL Transport Block,4,24,1,,1,0,8,123,C-RNTI,6,0,0,101,1,20,5,,61,TA,1,31,0,31,35,3,76,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
