log_msg_len,type_id,timestamp,Version,Serving Cell ID,System Frame Number,Subframe Number,PDSCH RNTIl ID,Number of Tx Antennas(M),PDSCH RNTI Type,Number of Rx Antennas(N),Spatial Rank,Frequency Selective PMI,RB Allocation Slot 0[0],RB Allocation Slot 0[1],RB Allocation Slot 1[0],RB Allocation Slot 1[1],PMI Index,Transmission Scheme,BMOD FD Sym Index,TBS 0,MCS 0,Traffic to Pilot Ratio,TBS 1,MCS 1,PB,Carrier Index,CSI-RS Exist,ZP CSI-RS Exist,CSI-RS Symbol Skipped,Op Mode,Strong ICell ID,Joint Demod Skip Reason
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:37.925704,123,349,15,8,60459,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000000f0f00,0x0000000000000000,0x00000000000f0f00,0x0000000000000000,11,Closed-loop spatial multiplexing,0,328,QPSK,1.4140625,2280,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:37.938203,123,349,17,1,60459,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000000f00,0x0000000000000000,0x0000000000000f00,0x0000000000000000,10,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:37.961834,123,349,19,5,60459,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000f00000000,0x0000000000000000,0x0000000f00000000,0x0000000000000000,7,Closed-loop spatial multiplexing,0,776,16QAM,1.4140625,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:37.988891,123,349,22,1,60459,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000000f00,0x0000000000000000,0x0000000000000f00,0x0000000000000000,10,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:38.002831,123,349,23,5,60459,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000000000000f000,0x0000000000000000,0x000000000000f000,0x0000000000000000,7,Closed-loop spatial multiplexing,0,680,16QAM,1.4140625,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:38.011835,123,349,24,5,60459,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000000000000f00,0x0000000000000000,0x0000000000000f00,0x0000000000000000,11,Closed-loop spatial multiplexing,0,776,16QAM,1.4140625,1736,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:38.038895,123,349,27,1,60459,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000000000000f000,0x0000000000000000,0x000000000000f000,0x0000000000000000,13,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:38.063383,123,349,29,6,60459,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000000000000f000,0x0000000000000000,0x000000000000f000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,680,16QAM,1.4140625,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:38.088192,123,349,32,1,60459,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000f00000000,0x0000000000000000,0x0000000f00000000,0x0000000000000000,14,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:38.100701,123,349,33,3,60459,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000000f000000000,0x0000000000000000,0x000000f000000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,680,16QAM,1.4140625,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:38.121765,123,349,35,4,60459,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff0000ff0000ff00,0x00000000ff00ff00,0xff0000ff0000ff00,0x00000000ff00ff00,11,Closed-loop spatial multiplexing,0,9144,16QAM,1.4140625,10296,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:38.138200,123,349,37,1,60459,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000f00000000,0x0000000000000000,0x0000000f00000000,0x0000000000000000,10,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:38.188860,123,349,42,1,60459,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000000000000f00,0x0000000000000000,0x0000000000000f00,0x0000000000000000,11,Closed-loop spatial multiplexing,0,904,16QAM,1.4140625,2152,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:38.196730,123,349,42,9,60459,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x00f0000000000000,0x0000000000000000,0x00f0000000000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,2152,64QAM,1.4140625,0,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:10:08.856449,123,349,916,9,65534,4 antennas,P-RNTI,2 antennas,Rank 1,WideBand,0x0001000001000001,0x0000000000000100,0x0001000001000001,0x0000000000000100,0,Transmit diversity,0,56,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:07:34.085107,123,349,799,7,34080,4 antennas,C-RNTI,2 antennas,Rank 1,WideBand,0x00000000000000f0,0x0000000000000000,0x00000000000000f0,0x0000000000000000,0,Transmit diversity,0,88,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:07:34.086909,123,349,799,9,65534,4 antennas,P-RNTI,2 antennas,Rank 1,WideBand,0x0003000003000003,0x0000000000000300,0x0003000003000003,0x0000000000000300,0,Transmit diversity,0,144,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:58.516484,123,349,906,9,65534,4 antennas,P-RNTI,4 antennas,Rank 1,WideBand,0x0001000001000001,0x0000000000000100,0x0001000001000001,0x0000000000000100,0,Transmit diversity,0,56,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.688793,123,349,20,1,52676,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00f0000000000000,0x0000000000000f00,0x00f0000000000000,0x0000000000000f00,11,Closed-loop spatial multiplexing,0,208,QPSK,1.4140625,1800,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.726354,123,349,23,9,52676,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0f00000000000000,0x0000000000000000,0x0f00000000000000,0x0000000000000000,14,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.738786,123,349,25,1,52676,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff00000000000000,0x0000000000000000,0xff00000000000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,1096,QPSK,1.4140625,552,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.739537,123,349,25,2,52676,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0f00000000000000,0x0000000000000000,0x0f00000000000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,1288,64QAM,1.4140625,1000,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.758172,123,349,27,1,52676,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x5000400030000000,0x000000000000e000,0x5000400030000000,0x000000000000e000,10,Closed-loop spatial multiplexing,0,2856,64QAM,1.4140625,2600,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.776578,123,349,28,9,52676,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0f00000000000000,0x0000000000000000,0x0f00000000000000,0x0000000000000000,6,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.790589,123,349,30,3,52676,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0f00000000000000,0x0000000000000000,0x0f00000000000000,0x0000000000000000,10,Closed-loop spatial multiplexing,0,680,16QAM,1.4140625,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.830597,123,349,34,3,52676,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff000000000000ff,0x000000000000fff0,0xff000000000000ff,0x000000000000fff0,11,Closed-loop spatial multiplexing,0,5736,16QAM,1.4140625,7224,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.831716,123,349,34,4,52676,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff0000000f0000ff,0x00000000000f00ff,0xff0000000f0000ff,0x00000000000f00ff,11,Closed-loop spatial multiplexing,0,6456,16QAM,1.4140625,6456,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.832038,123,349,34,5,52676,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff000000000000f0,0x00000000f00000ff,0xff000000000000f0,0x00000000f00000ff,11,Closed-loop spatial multiplexing,0,6200,16QAM,1.4140625,4776,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.833099,123,349,34,6,52676,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff00000ff00f0000,0x0000000000f0ffff,0xff00000ff00f0000,0x0000000000f0ffff,11,Closed-loop spatial multiplexing,0,6968,16QAM,1.4140625,7992,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.834555,123,349,34,7,52676,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff0000000000000f,0x00000000000000ff,0xff0000000000000f,0x00000000000000ff,11,Closed-loop spatial multiplexing,0,5160,16QAM,1.4140625,4584,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.835169,123,349,34,8,52676,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff00000000000000,0x000000000000000f,0xff00000000000000,0x000000000000000f,11,Closed-loop spatial multiplexing,0,3496,16QAM,1.4140625,2728,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:08.837736,123,349,35,0,52676,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0xffffffff0f0000ff,0x0000000f00f000ff,0xffffffff0f0000ff,0x0000000f00f000ff,0,Transmit diversity,0,4264,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:04.675851,123,349,642,9,65534,4 antennas,P-RNTI,2 antennas,Rank 1,WideBand,0x0003000003000003,0x0000000000000300,0x0003000003000003,0x0000000000000300,0,Transmit diversity,0,120,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:09:04.695575,123,349,644,8,52676,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000000000,0x0000000000f00000,0x0000000000000000,0x0000000000f00000,0,Closed-loop spatial multiplexing,0,88,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:53.396730,123,349,538,9,65534,4 antennas,P-RNTI,4 antennas,Rank 1,WideBand,0x0001000001000001,0x0000000000000100,0x0001000001000001,0x0000000000000100,0,Transmit diversity,0,56,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 18:08:54.029589,123,349,602,2,18420,4 antennas,C-RNTI,2 antennas,Rank 1,WideBand,0x000000f000000000,0x0000000000000000,0x000000f000000000,0x0000000000000000,6,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
