log_msg_len,type_id,timestamp,Version,Number of Records,Records,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power,SFN,Sub-FN,PUCCH Tx Power (dBm),DCI Format,PUCCH Format,N_HARQ,TPC Command,N_CQI,DL Path Loss,g(i),PUCCH Actual Tx Power
616,LTE_PHY_PUCCH_Power_Control,2021-11-29 20:23:25.141629,24,50,,779,0,14,NO DCI,Format 1,0,Not present,0,134,-10,14,780,0,13,NO DCI,Format 1,0,Not present,0,133,-10,13,781,2,13,NO DCI,Format 2,0,Not present,0,133,-10,13,781,3,13,NO DCI,Format 2,0,Not present,0,133,-10,13,782,2,14,Format 2,Format 1bCS,1,0,0,133,-10,14,783,7,14,Format 2,Format 1bCS,0,0,0,133,-10,14,783,8,14,Format 2,Format 1bCS,1,0,0,133,-10,14,784,0,13,NO DCI,Format 1,0,Not present,0,133,-10,13,787,2,14,Format 2,Format 1bCS,1,0,0,133,-10,14,787,5,14,Format 2,Format 1bCS,0,0,0,133,-10,14,787,6,14,Format 2,Format 1bCS,0,0,0,133,-10,14,787,7,14,Format 2,Format 1bCS,0,0,0,133,-10,14,787,8,14,Format 2,Format 1bCS,0,0,0,133,-10,14,787,9,14,Format 2,Format 1bCS,0,0,0,133,-10,14,788,0,14,Format 2,Format 1bCS,0,0,0,133,-10,14,788,1,14,Format 2,Format 1bCS,0,0,0,133,-10,14,788,2,14,Format 2,Format 1bCS,0,0,0,133,-10,14,788,3,14,Format 2,Format 1bCS,0,0,0,133,-10,14,788,4,14,Format 2,Format 1bCS,0,0,0,133,-10,14,789,2,13,NO DCI,Format 2,0,Not present,0,133,-10,13,789,3,13,NO DCI,Format 2,0,Not present,0,133,-10,13,792,7,14,Format 2,Format 1bCS,1,0,0,133,-10,14,793,0,13,NO DCI,Format 1,0,Not present,0,133,-10,13,794,0,15,Format 2,Format 1bCS,0,1,0,133,-9,15,794,1,15,Format 2,Format 1bCS,0,0,0,133,-9,15,795,0,14,NO DCI,Format 1,0,Not present,0,133,-9,14,797,2,14,NO DCI,Format 2,0,Not present,0,133,-9,14,797,3,14,NO DCI,Format 2,0,Not present,0,133,-9,14,797,7,15,Format 2,Format 1bCS,1,0,0,133,-9,15,798,8,15,Format 2,Format 1bCS,0,0,0,133,-9,15,798,9,15,Format 2,Format 1bCS,0,0,0,133,-9,15,799,0,15,Format 2,Format 1bCS,0,0,0,133,-9,15,799,1,15,Format 2,Format 1bCS,0,0,0,133,-9,15,799,2,15,NO DCI,Format 1bCS,0,Not present,0,133,-9,15,799,3,15,Format 2,Format 1bCS,0,0,0,133,-9,15,799,5,15,Format 2,Format 1bCS,0,0,0,133,-9,15,799,6,15,NO DCI,Format 1bCS,0,Not present,0,133,-9,15,799,7,15,Format 2,Format 1bCS,0,0,0,133,-9,15,799,8,15,Format 2,Format 1bCS,0,0,0,133,-9,15,799,9,15,Format 2,Format 1bCS,0,0,0,133,-9,15,800,0,15,Format 2,Format 1bCS,0,0,0,133,-9,15,800,1,15,Format 2,Format 1bCS,0,0,0,133,-9,15,800,2,15,Format 2,Format 1bCS,0,0,0,133,-9,15,800,3,15,Format 2,Format 1bCS,0,0,0,133,-9,15,800,4,15,Format 2,Format 1bCS,0,0,0,133,-9,15,800,5,15,Format 2,Format 1bCS,0,0,0,133,-9,15,800,6,15,Format 2,Format 1bCS,0,0,0,133,-9,15,800,8,15,Format 2,Format 1bCS,0,0,0,133,-9,15,800,9,15,Format 2,Format 1bCS,0,0,0,133,-9,15,804,8,18,Format 2,Format 1bCS,1,3,0,133,-6,18
580,LTE_PHY_PUCCH_Power_Control,2021-11-29 20:22:45.091918,24,47,,781,2,17,NO DCI,Format 2,0,Not present,0,133,-6,17,781,3,17,NO DCI,Format 2,0,Not present,0,133,-6,17,789,2,17,NO DCI,Format 2,0,Not present,0,133,-6,17,789,3,17,NO DCI,Format 2,0,Not present,0,133,-6,17,795,0,17,NO DCI,Format 1,0,Not present,0,133,-6,17,798,1,18,Format 2,Format 1bCS,1,0,0,133,-6,18,802,0,18,Format 2,Format 1bCS,1,0,0,133,-6,18,802,0,18,NO DCI,Format 1bCS,0,Not present,0,133,-6,18,802,1,18,Format 2,Format 1bCS,1,0,0,133,-6,18,805,2,17,NO DCI,Format 2,0,Not present,0,133,-6,17,805,3,17,NO DCI,Format 2,0,Not present,0,133,-6,17,812,6,18,Format 2,Format 1bCS,0,0,0,133,-6,18,812,7,18,Format 2,Format 1bCS,0,0,0,133,-6,18,813,2,17,NO DCI,Format 2,0,Not present,0,133,-6,17,813,3,17,NO DCI,Format 2,0,Not present,0,133,-6,17,813,5,18,NO DCI,Format 1bCS,0,Not present,0,133,-6,18,814,0,17,NO DCI,Format 1,0,Not present,0,133,-6,17,815,5,18,Format 2,Format 1bCS,0,0,0,133,-6,18,821,2,17,NO DCI,Format 2,0,Not present,0,133,-6,17,821,3,17,NO DCI,Format 2,0,Not present,0,133,-6,17,829,2,17,NO DCI,Format 2,0,Not present,0,133,-6,17,829,3,17,NO DCI,Format 2,0,Not present,0,133,-6,17,837,2,17,NO DCI,Format 2,0,Not present,0,133,-6,17,837,3,17,NO DCI,Format 2,0,Not present,0,133,-6,17,845,2,17,NO DCI,Format 2,0,Not present,0,133,-6,17,845,3,17,NO DCI,Format 2,0,Not present,0,133,-6,17,853,2,17,NO DCI,Format 2,0,Not present,0,133,-6,17,853,3,17,NO DCI,Format 2,0,Not present,0,133,-6,17,861,2,17,NO DCI,Format 2,0,Not present,0,133,-6,17,861,3,17,NO DCI,Format 2,0,Not present,0,133,-6,17,867,0,17,NO DCI,Format 1,0,Not present,0,133,-6,17,869,2,17,NO DCI,Format 2,0,Not present,0,133,-6,17,869,3,17,NO DCI,Format 2,0,Not present,0,133,-6,17,869,7,18,Format 2,Format 1bCS,1,0,0,133,-6,18,873,8,18,Format 2,Format 1bCS,1,0,0,133,-6,18,874,0,17,NO DCI,Format 1,0,Not present,0,133,-6,17,877,2,17,NO DCI,Format 2,0,Not present,0,133,-6,17,877,3,17,NO DCI,Format 2,0,Not present,0,133,-6,17,877,9,18,Format 2,Format 1bCS,0,0,0,133,-6,18,878,0,17,NO DCI,Format 1,0,Not present,0,133,-6,17,879,0,17,NO DCI,Format 1,0,Not present,0,133,-6,17,879,5,18,Format 2,Format 1bCS,1,0,0,133,-6,18,885,0,19,Format 1A,Format 1bCS,1,1,0,133,-5,19,885,2,18,NO DCI,Format 2,0,Not present,0,133,-5,18,885,3,18,NO DCI,Format 2,0,Not present,0,133,-5,18,893,2,18,NO DCI,Format 2,0,Not present,0,133,-5,18,893,3,18,NO DCI,Format 2,0,Not present,0,133,-5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,LTE_PHY_PUCCH_Power_Control,2021-11-29 20:25:25.891816,24,23,,472,0,21,Format 2,Format 1bCS,0,0,0,133,-3,21,473,0,20,NO DCI,Format 1,0,Not present,0,133,-3,20,476,0,20,NO DCI,Format 1,0,Not present,0,133,-3,20,476,5,21,Format 2,Format 1bCS,1,0,0,133,-3,21,477,2,20,NO DCI,Format 2,0,Not present,0,133,-3,20,477,3,20,NO DCI,Format 2,0,Not present,0,133,-3,20,493,2,20,NO DCI,Format 2,0,Not present,0,133,-3,20,493,3,20,NO DCI,Format 2,0,Not present,0,133,-3,20,509,2,19,NO DCI,Format 2,0,Not present,0,132,-3,19,509,3,19,NO DCI,Format 2,0,Not present,0,132,-3,19,525,2,19,NO DCI,Format 2,0,Not present,0,132,-3,19,525,3,19,NO DCI,Format 2,0,Not present,0,132,-3,19,557,2,19,NO DCI,Format 2,0,Not present,0,132,-3,19,557,3,19,NO DCI,Format 2,0,Not present,0,132,-3,19,568,0,19,NO DCI,Format 1,0,Not present,0,132,-3,19,569,7,20,Format 2,Format 1bCS,1,0,0,132,-3,20,570,8,20,Format 2,Format 1bCS,1,0,0,132,-3,20,571,0,19,NO DCI,Format 1,0,Not present,0,132,-3,19,573,2,19,NO DCI,Format 2,0,Not present,0,132,-3,19,573,3,19,NO DCI,Format 2,0,Not present,0,132,-3,19,574,5,20,Format 2,Format 1bCS,1,0,0,132,-3,20,589,2,20,NO DCI,Format 2,0,Not present,0,133,-3,20,589,3,20,NO DCI,Format 2,0,Not present,0,133,-3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,LTE_PHY_PUCCH_Power_Control,2021-11-29 20:25:27.092016,24,8,,605,2,20,NO DCI,Format 2,0,Not present,0,133,-3,20,605,3,20,NO DCI,Format 2,0,Not present,0,133,-3,20,621,2,20,NO DCI,Format 2,0,Not present,0,133,-3,20,621,3,20,NO DCI,Format 2,0,Not present,0,133,-3,20,653,2,20,NO DCI,Format 2,0,Not present,0,133,-3,20,653,3,20,NO DCI,Format 2,0,Not present,0,133,-3,20,685,2,20,NO DCI,Format 2,0,Not present,0,133,-3,20,685,3,20,NO DCI,Format 2,0,Not present,0,133,-3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
